PartitionKey,RowKey,Timestamp,AcademicYear,All,Disabilities,EconomicallyDisadvantaged,Female,FosterCare,Grade,HispanicNOTPuertoRican,Homeless,Male,Migrants,MilitaryParent,NOTDisabilities,NOTEconomicallyDisadvantaged,OtherOrigin,PuertoRican,Section504,SpanishLearners,WhiteNOTHispanic
35295,2320,2020-11-18T16:20:55.7241811Z,2019,57,13,47,32,0,6to,0,0,25,0,0,44,10,0,57,0,0,0
35295,2321,2020-11-18T16:20:55.7241811Z,2019,66,15,54,45,0,7mo,2,0,21,0,0,51,12,0,63,0,1,1
35295,2322,2020-11-18T16:20:55.7241811Z,2019,80,16,67,41,0,8vo,2,0,39,0,0,64,13,0,78,1,0,0
35295,2323,2020-11-18T16:20:55.7241811Z,2019,7,6,7,2,0,Sin Grado,0,0,5,0,0,1,0,0,7,0,0,0
35295,32327,2021-06-24T13:18:23.2741379Z,2021,54,9,42,28,0,6to,2,0,26,0,0,45,12,0,52,0,0,0
35295,32328,2021-06-24T13:18:23.2741379Z,2021,64,8,46,30,0,7mo,6,0,34,0,0,56,18,0,58,0,1,0
35295,32329,2021-06-24T13:18:23.2751388Z,2021,61,11,44,34,0,8vo,1,0,27,0,0,50,17,0,60,0,0,0
35295,32330,2021-06-24T13:18:23.2751388Z,2021,5,5,4,1,0,Sin Grado,0,0,4,0,0,0,1,0,5,0,0,0
35295,8332,2020-11-18T16:21:51.3963044Z,2020,68,9,58,32,0,6to,6,0,36,0,0,59,10,0,62,0,1,0
35295,8333,2020-11-18T16:21:51.3963044Z,2020,68,16,55,37,0,7mo,3,0,31,0,0,52,13,0,65,0,0,0
35295,8334,2020-11-18T16:21:51.3963044Z,2020,59,13,46,42,0,8vo,3,0,17,0,0,46,13,0,55,0,0,1
35295,8335,2020-11-18T16:21:51.3973053Z,2020,5,5,5,0,0,Sin Grado,0,0,5,0,0,0,0,0,5,0,0,0
74864,11541,2020-11-18T16:22:11.3065826Z,2020,124,47,103,51,0,6to,2,1,73,0,0,77,21,1,121,0,1,0
74864,11542,2020-11-18T16:22:11.3065826Z,2020,139,37,111,64,0,7mo,1,2,75,0,0,102,28,0,138,0,1,0
74864,11543,2020-11-18T16:22:11.3065826Z,2020,147,40,116,78,0,8vo,3,0,69,0,0,107,31,0,144,0,0,0
74864,11544,2020-11-18T16:22:11.3065826Z,2020,33,32,31,2,0,Sin Grado,0,0,31,0,0,1,2,0,33,0,1,0
74864,35563,2021-06-24T13:18:46.5908636Z,2021,112,39,94,48,0,6to,3,0,64,0,0,73,18,1,108,0,1,0
74864,35564,2021-06-24T13:18:46.5908636Z,2021,120,42,96,55,0,7mo,2,0,65,0,0,78,24,0,118,0,0,0
74864,35565,2021-06-24T13:18:46.5908636Z,2021,135,37,105,66,0,8vo,1,1,69,0,0,98,30,0,134,0,1,0
74864,35566,2021-06-24T13:18:46.5908636Z,2021,28,28,22,1,0,Sin Grado,1,1,27,0,0,0,6,0,27,0,1,0
74864,5533,2020-11-18T16:21:16.1788201Z,2019,149,47,118,70,0,6to,2,0,79,0,0,102,31,0,147,0,1,0
74864,5534,2020-11-18T16:21:16.1788201Z,2019,147,44,112,73,0,7mo,2,1,74,0,0,103,35,0,145,0,1,0
74864,5535,2020-11-18T16:21:16.1798206Z,2019,150,49,111,79,0,8vo,2,1,71,0,0,101,39,0,148,1,0,0
74864,5536,2020-11-18T16:21:16.1798206Z,2019,38,38,37,3,0,Sin Grado,0,5,35,0,0,0,1,0,38,0,0,0
20578,1021,2020-11-18T16:20:43.8002279Z,2019,58,17,43,27,0,1ro,0,0,31,0,0,41,15,0,58,0,0,0
20578,1022,2020-11-18T16:20:43.8012292Z,2019,68,18,47,35,0,2do,2,3,33,0,0,50,21,0,65,0,0,1
20578,1023,2020-11-18T16:20:43.8012292Z,2019,87,31,63,46,0,3ro,1,1,41,0,0,56,24,0,86,0,0,0
20578,1024,2020-11-18T16:20:43.8012292Z,2019,86,41,60,41,0,4to,3,0,45,0,0,45,26,0,83,0,1,0
20578,1025,2020-11-18T16:20:43.8012292Z,2019,59,23,40,27,0,5to,2,0,32,0,0,36,19,0,56,0,0,1
20578,1026,2020-11-18T16:20:43.8012292Z,2019,44,11,29,24,0,K,0,0,20,0,0,33,15,0,43,0,0,1
20578,1027,2020-11-18T16:20:43.8022288Z,2019,23,22,20,8,0,Sin Grado,1,0,15,0,0,1,3,0,22,0,0,0
20578,31020,2021-06-24T13:18:12.0580976Z,2021,65,19,54,35,0,1ro,1,0,30,0,0,46,11,0,64,0,0,0
20578,31021,2021-06-24T13:18:12.0590968Z,2021,55,13,40,31,0,2do,0,0,24,0,0,42,15,0,55,0,0,0
20578,31022,2021-06-24T13:18:12.0590968Z,2021,72,16,56,34,0,3ro,0,0,38,0,0,56,16,0,72,0,0,0
20578,31023,2021-06-24T13:18:12.0590968Z,2021,80,24,60,42,0,4to,3,0,38,0,0,56,20,0,77,1,0,0
20578,31024,2021-06-24T13:18:12.0600977Z,2021,72,23,57,42,0,5to,1,0,30,0,0,49,15,0,71,0,0,0
20578,31025,2021-06-24T13:18:12.0600977Z,2021,72,18,61,36,0,K,0,0,36,0,0,54,11,0,72,0,0,0
20578,31026,2021-06-24T13:18:12.0610986Z,2021,21,21,17,12,0,Sin Grado,1,0,9,0,0,0,4,0,20,0,0,0
20578,7024,2020-11-18T16:21:43.6291258Z,2020,54,12,44,29,0,1ro,0,0,25,0,0,42,10,0,54,0,0,0
20578,7025,2020-11-18T16:21:43.6291258Z,2020,63,14,47,29,0,2do,0,0,34,0,0,49,16,0,63,0,0,0
20578,7026,2020-11-18T16:21:43.6291258Z,2020,73,20,55,36,0,3ro,3,0,37,0,0,53,18,0,70,0,0,0
20578,7027,2020-11-18T16:21:43.6301276Z,2020,78,24,59,42,0,4to,1,0,36,0,0,54,19,0,77,0,0,0
20578,7028,2020-11-18T16:21:43.6311267Z,2020,84,35,65,44,0,5to,2,0,40,0,0,49,19,0,82,0,1,0
20578,7029,2020-11-18T16:21:43.6311267Z,2020,57,14,42,29,0,K,0,0,28,0,0,43,15,0,57,0,0,0
20578,7030,2020-11-18T16:21:43.6311267Z,2020,23,23,19,10,0,Sin Grado,1,0,13,0,0,0,4,0,22,0,0,0
15784,30644,2021-06-24T13:18:10.6480845Z,2021,112,22,78,62,0,10mo,3,1,50,0,0,90,34,0,109,1,0,0
15784,30645,2021-06-24T13:18:10.6490855Z,2021,98,19,72,55,0,11mo,0,0,43,0,0,79,26,0,98,0,0,0
15784,30646,2021-06-24T13:18:10.6490855Z,2021,83,19,59,48,0,12mo,0,1,35,0,0,64,24,0,83,2,0,0
15784,30647,2021-06-24T13:18:10.6490855Z,2021,91,14,65,50,0,9no,0,0,41,0,0,77,26,0,90,0,0,1
15784,646,2020-11-18T16:20:41.1824864Z,2019,92,21,53,53,0,10mo,0,1,39,0,0,71,39,0,92,2,0,0
15784,647,2020-11-18T16:20:41.1834877Z,2019,107,18,71,71,0,11mo,1,1,36,0,0,89,36,0,106,4,0,0
15784,648,2020-11-18T16:20:41.1844868Z,2019,116,0,69,70,0,12mo,1,0,46,0,0,116,47,0,115,0,0,0
15784,649,2020-11-18T16:20:41.1844868Z,2019,117,22,74,66,0,9no,1,1,51,0,0,95,43,0,116,0,0,0
15784,6646,2020-11-18T16:21:40.7532108Z,2020,106,20,69,58,0,10mo,1,0,48,0,0,86,37,0,105,0,0,0
15784,6647,2020-11-18T16:21:40.7532108Z,2020,85,19,51,48,0,11mo,0,0,37,0,0,66,34,0,85,2,0,0
15784,6648,2020-11-18T16:21:40.7542108Z,2020,104,17,70,69,0,12mo,1,0,35,0,0,87,34,0,103,4,0,0
15784,6649,2020-11-18T16:21:40.7542108Z,2020,112,22,70,63,0,9no,3,0,49,0,0,90,42,0,109,1,0,0
52357,33568,2021-06-24T13:18:33.4094117Z,2021,20,7,18,9,0,1ro,0,0,11,0,0,13,2,0,20,0,0,0
