codigo,region,distrito,municipioEscolar,nombreEscuela,director,nivel,grados,zona,estatus,telefono,direccionFisica,direccionFisicaPueblo,direccionFisicaEstado,zipCode,latitud,longitud,puntuacion,starsEscuela,year,ETLLastUpdate,ETLCreatedDate
35295,Humacao,FAJARDO,Vieques,20 de septiembre de 1988,MYRIAM RODRÍGUEZ RODRÍGUEZ,Primario,6 7 8      EEI,URBANA,ABIERTA,741-3091,CARR ESTATAL 200 ESQ CARR ESTATAL 993,Vieques,PR,7650000,18.14372,-65.44178,0.33329563427738174,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
74864,Bayamón,TOA BAJA,Toa Alta,Abelardo Díaz Alfaro,WILFREDO CARDONA RODRIGUEZ,Primario,6 7 8      EEI,RURAL,ABIERTA,797-0315,CARR. 828 AU. RAMAL BO. PIÑAS,Toa Alta,PR,9530000,18.36274,-66.21927,0.47989972720191443,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
20578,Caguas,GURABO,Caguas I,Abelardo Díaz Morales,CESAR AQUINO NIEVES,Primario,K 1 2 3 4 5        EEE,URBANA,ABIERTA,743-9056,URB. SANTA ELVIRA CALLE SANTA GERTRUDIS,Caguas,PR,7250000,18.23615,-66.01383,0.49824544178205366,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
15784,Arecibo,ARECIBO,Arecibo II,Abelardo Martínez Otero,EDGAR ORTIZ AHORRIO,Secundario,9101112,URBANA,ABIERTA,879-2614,VILLA LOS SANTOS CALLE 14 FINAL,Arecibo,PR,6120000,18.46253,-66.74019,0.7735600616496617,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
52357,Ponce,PONCE,Ponce II,Abraham Lincoln,BRUNILDA SIERRA TELLADO,Primario,K 1 2 3 4 5       EEE,URBANA,ABIERTA,842-0117,46 CALLE CAMPECHE BDA BELGICA,Ponce,PR,7310000,18.00463,-66.60992,0.6545143788766826,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
61598,San Juan,SAN JUAN I,San Juan I,Abraham Lincoln,MAGALY RODRIGUEZ,Primario,PK K 1 2 3 4 5        EEE,URBANA,ABIERTA,722-1561,CALLE SOL 351,San Juan,PR,9010000,18.46764,-66.11357,0.49381420796052933,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
27714,Caguas,GUAYAMA,Arroyo,Adalberto Sánchez Morales,ROXANA GONZÁLEZ ANAYA,Primario,PK K 1 2 3 4 5        EEE,RURAL,ABIERTA,271-2973,BO ANCONES,Arroyo,PR,7140000,17.98963,-66.05327,0.8859071758049635,5,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
26336,Caguas,GUAYAMA,Guayama,Adela Brenes Texidor,ADA VÁZQUEZ SERRANO,Todos los niveles,6 7 8 9 10 11 12  EEI,RURAL,ABIERTA,864-7700,CARR 3 KM. 143 HM 8,Guayama,PR,7840000,17.95553,-66.16153,0.23747395717675865,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
78931,Bayamón,TOA BAJA,Toa Alta,Adela Rolón Fuentes,Rafael López Ramos**,Secundario,9 10 11 12   EES,RURAL,ABIERTA,279-8282,"AVE PRINCIPAL, TOA ALTA HEIGHTS",Toa Alta,PR,9540000,18.3609,-66.21538,0.46660329021420954,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
71514,Bayamón,TOA BAJA,Toa Baja,Adolfina Irizarry De Puig,PEGGY NIETO ROSADO,Secundario,9101112,URBANA,ABIERTA,794-2018,AVE LUIS MUÑOZ RIVERA FINAL #2,Toa Baja,PR,9510000,18.43998,-66.25288,0.3213471519801907,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
42473,Mayagüez,SAN SEBASTIAN,Moca,Adolfo Babilonia,NELSON QUINTANA VELÁZQUEZ,Primario,K 1 2 3 4 5        EEE,URBANA,ABIERTA,877-3170,230 CALLE ISABELA PUEBLO,Moca,PR,6760000,18.39537,-67.11244,0.7509548786878975,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
58594,Ponce,UTUADO,Jayuya,Adrián Torres Torres,JOSÉ R. COLÓN TORRES,Primario,PK K 1 2 3 4 5 6 7 8      EEI,URBANA,ABIERTA,828-3625,CARR 141-R KM 2 HM 1 SECTOR PUEBLO,Jayuya,PR,6640000,18.132715,-66.354215,0.5202831475477496,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
32375,Humacao,FAJARDO,Vieques,Adrianne Serrano,JOSUAN ALOYO CORSINO,Todos los niveles,1 2 3 4 5 6 7 8 9 10 11 12,RURAL,ABIERTA,741-8692,CARR ESTATAL 201 KM 5 HM 4 BARRIO PUERTO REAL,Vieques,PR,7659712,18.109144,-65.485404,0.2627900012880863,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
74807,Arecibo,VEGA ALTA,Vega Baja,Agapito Rosario Rosario,YAMILI RIVERA GONZALEZ,Primario,K 1 2 3 4 5        EEE,RURAL,ABIERTA,858-2988,CALLE S ESQ T URB ALTURAS,Vega Baja,PR,6930000,18.43408,-66.40216,0.4828699818763828,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
