PartitionKey,escuela,region,municipio,escuela_receptora,nivel,grade,matricula_1819,matricula_1718,matricula_1617,espanol_1819,espanol_1718,espanol_1617,matematica_1819,matematica_1718,matematica_1617,ingles_1819,ingles_1718,ingles_1617,ciencias_1819,ciencias_1718,ciencias_1617,latitude,longitude,escuela_receptora_cat,AcademicYear,All,Disabilities,EconomicallyDisadvantaged,Female,FosterCare,HispanicNOTPuertoRican,Homeless,Male,Migrants,MilitaryParent,NOTDisabilities,NOTEconomicallyDisadvantaged,OtherOrigin,PuertoRican,Section504,SpanishLearners,WhiteNOTHispanic
15784,Abelardo Martinez Otero,ARECIBO,ARECIBO,0,SECUNDARIO,9 - 12,423,464,373,74.0,65.5,68.9,22.3,12.1,0.8,70.3,80.2,63.6,85.1,67.0,58.7,18.46253,-66.74019,Schools did not receive displaced students,2019,432,61,267,260,0,3,3,172,0,0,371,165,0,429,6,0,0
74807,Agapito Rosario Rosario,ARECIBO,VEGA BAJA,1,PRIMARIO,"K - 5, EEE",565,473,531,39.5,57.8,50.9,49.3,65.3,38.2,35.4,67.3,43.8,43.9,77.1,45.8,18.43408,-66.40216,Schools received displaced students in SY 2019,2019,565,209,479,246,0,5,1,319,0,0,356,86,0,560,0,1,0
17467,Amalia Lopez de Avila (Nueva),ARECIBO,CAMUY,1,PRIMARIO,"K - 5, EEE",348,332,148,62.1,70.4,80.8,66.5,76.7,61.6,53.4,76.1,83.6,79.3,90.4,94.1,18.46785,-66.84433,Schools received displaced students in SY 2019,2019,348,136,292,155,0,6,3,193,0,1,212,56,0,342,2,0,0
71886,Angel Sandin Martinez,ARECIBO,VEGA BAJA,1,PRIMARIO,"6 - 8, EEI",565,473,531,39.5,57.8,50.9,49.3,65.3,38.2,35.4,67.3,43.8,43.9,77.1,45.8,18.44348,-66.38388,Schools received displaced students in SY 2019,2019,466,136,417,223,0,8,3,243,0,0,330,49,0,458,0,1,0
10637,Angelica Gomez de Betancourt,ARECIBO,ARECIBO,0,PRIMARIO,"K - 8, EEE - EES",182,214,223,39.1,31.9,46.5,33.6,23.5,31.8,35.8,24.4,40.1,61.9,51.2,42.6,18.47902,-66.69367,Schools did not receive displaced students,2019,182,63,166,90,0,2,3,92,0,0,119,16,0,180,0,0,0
17772,Anibal Reyes Belen,ARECIBO,HATILLO,0,SECUNDARIO,9 - 12,725,741,727,44.3,48.7,40.1,23.0,9.0,1.7,42.6,55.6,33.9,60.6,64.9,50.3,18.36489,-66.80053,Schools did not receive displaced students,2019,725,147,518,341,0,3,5,384,0,0,578,207,1,721,0,1,0
71738,Antonio Paoli,ARECIBO,VEGA ALTA,0,PRIMARIO,PK - 5,284,294,255,61.4,36.6,65.3,59.6,53.2,63.3,43.9,20.9,56.2,65.2,44.1,53.6,18.41179,-66.31669,Schools did not receive displaced students,2019,284,78,205,145,0,0,2,139,0,0,206,79,0,284,0,1,0
11023,Antonio Reyes,ARECIBO,CAMUY,0,PRIMARIO,"6 - 8, EEI",397,428,447,42.9,42.6,44.1,20.6,18.7,30.0,43.4,45.8,36.7,39.2,60.7,53.1,18.45143,-66.85406,Schools did not receive displaced students,2019,397,130,288,195,0,1,1,202,0,0,267,109,0,396,2,0,0
12187,Antonio Velez Alvarado,ARECIBO,MANATI,1,PRIMARIO,"PK - 5, EEE",235,163,167,78.3,70.4,80.0,81.5,87.0,82.2,84.8,70.4,85.6,85.0,85.7,94.4,18.435,-66.46613,Schools received displaced students in SY 2019,2019,235,121,219,111,0,1,3,124,0,0,114,16,0,233,1,0,1
71761,Apolo San Antonio,ARECIBO,VEGA ALTA,1,PRIMARIO,"6 - 8, EEI",577,636,493,30.8,24.7,31.7,2.0,2.7,0.9,21.6,19.5,20.6,31.1,20.8,22.1,18.41254,-66.33316,Schools received displaced students in SY 2019,2019,577,177,497,272,0,8,59,305,0,0,400,80,0,566,1,1,3
11411,Carmen Noelia Peraza Toledo,ARECIBO,HATILLO,0,PRIMARIO,PK - 5,353,267,275,92.0,87.0,98.7,94.2,87.8,94.2,90.2,85.4,94.9,66.2,88.6,100.0,18.45667,-66.77591,Schools did not receive displaced students,2019,353,119,273,168,0,0,0,185,0,1,234,80,0,353,2,0,0
10173,Cotto (Anexo),ARECIBO,ARECIBO,0,TODOS LOS NIVELES,EEE - EES,22,22,26,16.7,0.0,80.0,66.7,57.1,40.0,66.7,57.1,20.0,25.0,60.0,80.0,18.46298,-66.73596,Schools did not receive displaced students,2019,22,21,18,11,0,0,0,11,0,0,1,4,0,22,0,0,0
76562,Cristobal Santana Melecio (Nueva),ARECIBO,DORADO,1,PRIMARIO,"K - 8, EEE",232,148,198,41.7,45.6,49.1,33.3,54.4,47.4,27.8,31.6,33.3,32.7,47.4,68.0,18.396,-66.25971,Schools received displaced students in SY 2019,2019,232,94,198,102,0,4,0,130,0,0,138,34,0,228,0,0,0
17673,Daniel Velez Soto,ARECIBO,LARES,0,PRIMARIO,"PK - 5, EEE",425,448,396,53.0,52.7,54.3,56.9,57.7,46.7,41.4,44.0,49.5,70.2,65.6,67.4,18.29956,-66.88233,Schools did not receive displaced students,2019,425,141,349,211,0,13,0,214,0,0,284,76,0,412,3,0,0
11643,Domingo Aponte Collazo,ARECIBO,LARES,0,SECUNDARIO,"9 - 12, EES",950,923,772,45.4,55.1,46.7,7.9,7.1,3.3,42.4,40.4,37.9,49.3,56.0,48.3,18.29666,-66.87977,Schools did not receive displaced students,2019,950,151,709,485,0,21,5,465,0,2,799,241,0,929,0,0,0
10439,Dr. Cayetano Coll y Toste,ARECIBO,ARECIBO,1,PRIMARIO,"K - 8, EEE - EEI",599,490,558,95.2,94.7,98.8,83.9,96.6,59.2,87.0,96.3,95.2,94.2,99.1,94.8,18.42251,-66.64628,Schools received displaced students in SY 2019,2019,599,253,453,288,0,3,0,311,0,0,346,146,0,596,2,0,0
12872,Dr. Pedro Albizu Campos,ARECIBO,QUEBRADILLAS,1,PRIMARIO,"6 - 8, EEI",180,230,243,28.3,24.7,24.6,2.4,0.5,4.8,20.1,25.2,24.2,17.5,15.2,16.7,18.46849,-66.93915,Schools received displaced students in SY 2019,2019,180,66,152,90,0,1,2,90,0,0,114,28,0,178,2,0,1
15024,Elba Lugo Carrion,ARECIBO,ARECIBO,1,PRIMARIO,"K - 5, EEE",399,345,341,76.5,77.8,72.3,80.9,67.2,66.0,69.7,81.0,73.7,77.1,97.4,83.0,18.45402,-66.74012,Schools received displaced students in SY 2019,2019,399,132,288,191,0,1,1,208,0,0,267,111,0,398,4,0,0
18259,Elem Bo Higuillar (Ecologica),ARECIBO,DORADO,1,PRIMARIO,"K - 8, EEE - EEI",547,286,324,43.8,67.7,61.6,24.6,59.1,49.5,32.6,48.8,65.2,36.4,43.9,61.7,18.432552,-66.301143,Schools received displaced students in SY 2019,2019,547,186,419,287,0,3,5,260,0,0,361,128,0,544,0,2,0
